,0
0,1210_1210_ZI001_PET FILM種類(PET type)
1,1210_1210_ZI002_粉末種類(Powder type)
2,1210_1210_ZI003_調機米數(Modify length)
3,1210_1210_ZI004_勿用米數(NG length)
4,1210_1210_ZI010_SC設定值-開始(SC-start)
5,1210_1210_ZI011_SC設定值-中間(SC-middle)
6,1210_1210_ZI012_Pump轉速-開始(Pump-start)
7,1210_1210_ZI013_Pump轉速-中間(Pump-middle)
8,1210_1210_ZI014_濾心壓力-開始(Filter Kpa-start)
9,1210_1210_ZI015_濾心壓力-中間(Filter Kpa-middle)
10,1210_1210_ZI016_機台壓力-開始(Machine pressure-start)
11,1210_1210_ZI017_機台壓力-中間(Machine pressure-Middle)
12,1210_1210_ZI018_漿料黏度(Viscosity)
13,1210_1210_ZI019_重量-開機左(Weight-start-L)
14,1210_1210_ZI020_重量-開機右(Weight-start-R)
15,1210_1210_ZI021_重量-中間左(Weight-middle-L)
16,1210_1210_ZI022_重量-中間右(Weight-middle-R)
17,1210_1210_ZI023_R值-開機(R value-start)
18,1210_1210_ZI024_R值-中間(R value-middle)
19,1210_1210_ZI026_濃度-1
20,1210_1210_ZI027_濃度-2
21,1210_1210_ZI028_濃度-3
22,1210_1210_ZI029_濃度-4
23,1210_1210_ZI030_濃度-5
24,slurry_ordno_0001
25,1210_1210_PARAM001
26,1210_1220_ZI001_清機後第幾捲(Reel order after machine clean)
27,1210_1220_ZI002_網版結束累積印數(Total lays of screen)
28,1210_1220_ZI003_刮刀結束累積印數(Total lays of squeegee)
29,1210_1220_ZI004_油墨種類(Paste type)
30,1210_1220_ZI005_前段張力L(Left tension at front) 
31,1210_1220_ZI006_前段張力R(Right tension at front)
32,1210_1220_ZI007_後段張力L(Left tension at back)
33,1210_1220_ZI008_後段張力R(Right tension at back)
34,1210_1220_ZI009_對位次數(Times of screen site)
35,1210_1220_ZI010_首件次數(Times of modify)
36,1210_1220_ZI011_XRF次數(Times of XRF modify)
37,1210_1220_ZI012_49點次數(Times of 49 point modify)
38,1210_1220_ZI013_塗工刮痕(Coating scratch miles)
39,1210_1220_ZI014_塗工透光(Transparent line of coating foil)
40,1210_1220_ZI015_塗工其他不良(Other defect of coating foil)
41,1210_1220_ZI016_首件網間(Screen gap-30m)
42,1210_1220_ZI017_首件刮刀壓力(pressure of squeegee-30m)
43,1210_1220_ZI018_首件刮刀硬度(Hardness of squeegee-30m)
44,1210_1220_ZI019_首件刮刀速度(Squeegee speed-30m)
45,1210_1220_ZI020_首件回墨刀速度(Scraper speed-30m)
46,1210_1220_ZI021_首件刮刀角度(Squeegee angle-30m)
47,1210_1220_ZI022_首件墨1+2(30m laydown 1+2)
48,1210_1220_ZI023_首件墨3+4(30m laydown 3+4)
49,1210_1220_ZI024_1000m墨1+2(1000m laydown 1+2)
50,1210_1220_ZI025_1000m墨3+4(1000m laydown 3+4)
51,1210_1220_ZI026_尺寸長1(pattern length1)
52,1210_1220_ZI027_尺寸長2(pattern length2)
53,1210_1220_ZI028_尺寸長3(pattern length2)
54,1210_1220_ZI029_尺寸長4(pattern length3)
55,1210_1220_ZI030_尺寸寬1(pattern wide1)
56,1210_1220_ZI031_尺寸寬2(pattern wide2)
57,1210_1220_ZI032_尺寸寬3(pattern wide3)
58,1210_1220_ZI033_尺寸寬4(pattern wide4)
59,1210_1220_ZI034_cycle time
60,1210_1220_ZI035_油墨罐號(No. of paste bottle)
61,1210_1220_ZI036_回收/重工油墨(re-work paste)
62,1210_1220_ZI037_歪斜Y偏移
63,1210_1220_ZI038_歪斜Y擴散
64,1210_1220_ZI039_歪斜X偏移
65,1210_1220_ZI040_歪斜X擴散
66,1210_1220_ZI041_XRF平均(XRF average)
67,1210_1220_ZI042_XRF全距(XRF range)
68,1210_1220_ZI043_機故(Machine)
69,1210_1220_ZI044_塗工(Coating)
70,1210_1220_ZI045_刷白(Get white)
71,1210_1220_ZI046_渲染(Rendering)
72,1210_1220_ZI047_白點(white point)
73,1210_1220_ZI048_黏網(Sticky)
74,1210_1220_ZI059_塗工實際米數(Real meter of foil)
75,1210_1220_ZI062_1000M L/D
76,1210_1220_ZI063_2000M L/D
77,1210_1220_BT002_網版編號(No. of screen)
78,1210_1220_BT004_刮刀編號(No. of Squeegee)
79,ZORDPN
80,SC
81,1210_1320_ZI011_最大重量(Max weight)
82,1210_1320_ZI012_最小重量(Min weight)
83,1210_1320_ZI013_底偏(B.S)
84,1210_1320_ZI014_傾斜(I.L)
85,1210_1320_ZI015_交錯
86,1210_1320_ZI016_Y軸交錯(Y-F.B)
87,1210_1320_ZI017_X軸交錯(X-F.B)
88,1210_1320_ZI018_Y軸貫穿(Y-L.S)
89,1210_1320_ZI019_X軸貫穿(X-L.S)
90,1210_1320_ZI020_斷層(B.B)
91,1210_1320_ZI021_厚度、重量異常
92,1210_1320_ZI022_渲染
93,1210_1320_ZI023_不密合
94,1210_1320_ZI024_收料掉落
95,1210_1320_ZI025_其他
96,1210_1320_BT003_網版編號
97,1210_1320_BT004_ 內層疊層層數(number of layer)
98,1210_1330_ZI005_第一次真空程式 
99,1210_1330_ZI007_第一次均壓程式 
100,1210_1330_ZI011_第二次均壓程式 
101,1210_1330_ZI015_產品最大厚度(Thickness max)
102,1210_1330_ZI016_產品最小厚度(Thickness min)
103,1210_1340_ZI001_投入片數(Input Bar)
104,1210_1340_ZI002_不良片數(NG Bar)
105,1210_1340_ZI003_不良率(Yield Loss)
106,1210_1410_ZI002_BBO 程式
107,1210_1410_ZI005_有效晶粒數
108,1210_1410_ZI006_setter或mesh 片數
109,1210_1410_ZI007_燒失率 %
110,1210_1410_ZI009_粉末(Powder)
111,1210_1420_ZI015_導角方式
112,1210_1420_ZI016_轉速(Hz)
113,1210_1420_ZI017_時間
114,1210_1420_ZI018_R值#1
115,1210_1420_ZI019_R值#2
116,1210_1420_ZI020_R值#3
117,1210_1420_ZI021_R值#4
118,1210_1420_ZI022_R值#5
119,1210_1520_ZI002_首驗/覆驗
120,1210_1520_ZI003_判定
121,1210_1520_ZI004_檢驗顆數
122,1210_1520_ZI005_批退總顆數
123,1210_1520_ZI007_DPA位置
124,1210_1620_ZI001_銅膏類別
125,1210_1620_ZI002_沾附機台
126,1210_1620_ZI007_燒附機台
127,1210_1620_ZI008_燒附程式
128,1210_1620_ZI009_燒附日期
